Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,ApplicantIncome_Z_score,CoapplicantIncome_Z_score,LoanAmount_Z_score
LP001003,Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N,-0.13430245319192854,-0.03869999526291909,-0.21512720617749773
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,-0.3934265653904136,-0.5540356092387769,-0.9395335342085874
LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y,-0.4616860440933626,0.2517743229595472,-0.30859899043957384
LP001008,Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y,0.09764882096173749,-0.5540356092387769,-0.0632355567516241
LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y,0.002216504213969467,0.8798823193041272,1.4089450453760743
LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y,-0.5026089929560419,-0.035966119326707645,-0.6006983162585616
LP001014,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,-0.38753366075418777,0.30166755879540613,0.13539198480528758
LP001018,Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y,-0.22875261916699227,-0.03254877440644333,0.2522317151328827
LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,1.2174643936400926,3.1941082993071177,2.367030834062354
LP001024,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,-0.3606882063002702,-0.3148214648202753,-0.8927976420775493
LP001027,Male,Yes,2,Graduate,,2500,1840.0,109.0,360.0,1.0,Urban,Y,-0.4752724631157721,0.07475585608985598,-0.43712269379992846
LP001028,Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y,-0.3814770643225113,2.216064183127472,0.626118852181187
LP001029,Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N,-0.581181054772386,0.41649034811628693,-0.37870282863613086
LP001030,Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y,-0.6718663094520833,-0.18291195089807294,-1.5120482128138033
LP001032,Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y,-0.07422756426151539,-0.5540356092387769,-0.2501791252757763
LP001034,Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,,Urban,Y,-0.29586625530178623,-0.5540356092387769,-0.542278451094764
LP001036,Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N,-0.3099437497105479,-0.5540356092387769,-0.8226938038809923
LP001038,Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N,-0.08454014737491056,-0.5540356092387769,-0.15670734101370018
LP001041,Male,Yes,0,Graduate,,2600,3500.0,115.0,,1.0,Urban,Y,-0.4589032835707004,0.6420351128537314,-0.3670188556033714
LP001043,Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N,0.36937720140992775,-0.5540356092387769,-0.495542558963726
LP001046,Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,Y,0.09028269016645522,1.368220908409897,1.9697757509485307
LP001047,Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,N,-0.4589032835707004,0.09901900502373258,-0.35533488257061185
LP001050,,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N,-0.33367906005090187,0.10106941197589116,-0.4020707747016499
LP001052,Male,Yes,1,Graduate,,3717,2925.0,151.0,360.0,,Semiurban,N,-0.27605954805224947,0.44553777993853355,0.053604173575971005
LP001066,Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y,0.6803916127662901,-0.5540356092387769,0.5209630948863514
LP001068,Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,Y,-0.4263286162760077,0.21589220129677195,-0.2852310443740548
